Time,Displacement 1,Displacement 2,Displacement 3,Displacement 4,Displacement 5,Displacement 6,Displacement 7,Displacement 8,Displacement 9,Displacement 10,Displacement 11,Displacement 12,Displacement 13,Displacement 14,Displacement 15,Displacement 16,Displacement 17,Displacement 18,Displacement 19,Displacement 20,Displacement 21,Displacement 22,Displacement 23,Displacement 24,Displacement 25,Displacement 26,Displacement 27,Displacement 28,Displacement 29,Displacement 30
0.319488,0,0,0,0,0,-1.419293,-1.978832,-3.06427,-3.393262,-3.254934,-1.025496,-3.455574,-3.430648,-2.722812,-1.6286524,-4.626797,5.95339,0.6882225,4.099668,6.74783,2.2241505,6.349055,0.14841796,2.436006,-5.776405,-13.48411,-0.7854005,12.40866,11.72326,0
0.32448,0,0,0,0,0,-1.419293,-1.9838204,-3.065516,-3.395754,-3.24621,-1.0279882,-3.458066,-3.430648,-2.722812,-1.6311446,-4.639258,5.95962,0.772334,4.0778615,6.726025,2.277119,6.31167,0.1608789,2.488965,-5.80133,-13.51215,-0.729326,12.37751,11.7108,0
0.329472,0,0,0,0,0,-1.4217852,-1.9875586,-3.06427,-3.393262,-3.254934,-1.02425,-3.460558,-3.43314,-2.725304,-1.6311446,-4.629912,5.956505,0.703799,4.1121385,6.726025,2.2366115,6.37709,0.15091016,2.439121,-5.78575,-13.462305,-0.7885155,12.380625,11.754415,0
0.334464,0,0,0,0,0,-1.4280156,-1.993789,-3.071746,-3.394508,-3.251196,-1.0217578,-3.455574,-3.428156,-2.72032,-1.6274062,-4.6205665,5.97208,0.6975685,4.0809765,6.760295,2.233496,6.34282,0.14592578,2.4422365,-5.80133,-13.462305,-0.77917,12.35882,11.76376,0
0.339456,0,0,0,0,0,-1.4392304,-1.9975274,-3.074238,-3.393262,-3.252442,-1.023004,-3.455574,-3.430648,-2.719074,-1.6261602,-4.626797,5.95962,0.6851075,4.0965525,6.76341,2.2366115,6.321015,0.1421875,2.4453515,-5.80756,-13.45919,-0.782285,12.380625,11.75753,0
0.344448,0,0,0,0,0,-1.447957,-2.008742,-3.080468,-3.394508,-3.251196,-1.0267422,-3.455574,-3.42691,-2.72655,-1.623668,-4.642373,5.97831,0.7629885,4.05917,6.744715,2.274004,6.314785,0.1434336,2.4546975,-5.804445,-13.46542,-0.782285,12.3962,11.732605,0
0.34944,0,0,0,0,0,-1.4579258,-2.011234,-3.085454,-3.397,-3.251196,-1.0279882,-3.459312,-3.424418,-2.72655,-1.624914,-4.639258,5.968965,0.6882225,4.118369,6.73537,2.2397265,6.37709,0.15464844,2.4453515,-5.78575,-13.45919,-0.782285,12.380625,11.760645,0
0.354432,0,0,0,0,0,-1.4629102,-2.01871,-3.085454,-3.397,-3.252442,-1.0304804,-3.459312,-3.429402,-2.727796,-1.6261602,-4.629912,5.968965,0.694453,4.0965525,6.766525,2.2241505,6.33036,0.1421875,2.467158,-5.816915,-13.487225,-0.7324415,12.37751,11.70457,0
0.359424,0,0,0,0,0,-1.4678946,-2.02245,-3.085454,-3.398246,-3.252442,-1.025496,-3.461804,-3.435632,-2.721566,-1.6274062,-4.629912,5.962735,0.7006835,4.0903225,6.760295,2.230381,6.339705,0.1434336,2.448467,-5.8138,-13.47165,-0.7449025,12.35882,11.76376,0
0.364416,0,0,0,0,0,-1.4778632,-2.02868,-3.096668,-3.400738,-3.24621,-1.0205118,-3.461804,-3.419434,-2.725304,-1.6298984,-4.642373,5.97208,0.759873,4.071631,6.71045,2.286465,6.34594,0.16461718,2.49208,-5.810675,-13.49034,-0.7324415,12.349475,11.766875,0
0.369408,0,0,0,0,0,-1.474125,-2.039898,-3.106636,-3.394508,-3.248704,-1.025496,-3.459312,-3.418188,-2.724058,-1.6311446,-4.642373,5.97831,0.7536425,4.05917,6.744715,2.2708885,6.33036,0.1421875,2.4453515,-5.798215,-13.456075,-0.766709,12.361935,11.766875,0
0.3744,0,0,0,0,0,-1.486586,-2.049868,-3.11661,-3.393262,-3.252442,-1.0292344,-3.460558,-3.424418,-2.72655,-1.6298984,-4.6330275,5.950275,0.703799,4.1121385,6.71045,2.2708885,6.3584,0.16461718,2.4858495,-5.8138,-13.480995,-0.7480175,12.361935,11.760645,0
0.379392,0,0,0,0,0,-1.4940664,-2.061082,-3.117856,-3.398246,-3.251196,-1.0217578,-3.46305,-3.42691,-2.724058,-1.6298984,-4.6454885,5.97831,0.7505275,4.0654005,6.75718,2.2708885,6.327245,0.15589454,2.4858495,-5.8138,-13.49657,-0.7199805,12.38374,11.70457,0
0.384384,0,0,0,0,0,-1.5040352,-2.062328,-3.125332,-3.397,-3.252442,-1.0317266,-3.46305,-3.425664,-2.725304,-1.6323906,-4.6361425,5.96585,0.769219,4.074746,6.726025,2.274004,6.33036,0.15464844,2.4827345,-5.816915,-13.480995,-0.738672,12.355705,11.735725,0
0.389376,0,0,0,0,0,-1.5102656,-2.073542,-3.121594,-3.395754,-3.24995,-1.02425,-3.464296,-3.428156,-2.725304,-1.6348828,-4.639258,5.97208,0.759873,4.074746,6.71668,2.286465,6.349055,0.16710938,2.4951955,-5.79198,-13.509035,-0.7230955,12.393085,11.713915,0
0.394368,0,0,0,0,0,-1.5214804,-2.087254,-3.127824,-3.397,-3.24995,-1.0180196,-3.461804,-3.429402,-2.722812,-1.636129,-4.6330275,5.962735,0.747412,4.099668,6.719795,2.2677735,6.380205,0.16710938,2.4733885,-5.76083,-13.50592,-0.7449025,12.40866,11.7108,0
0.39936,0,0,0,0,0,-1.5389258,-2.099714,-3.1353,-3.398246,-3.251196,-1.0192656,-3.459312,-3.42691,-2.719074,-1.6298984,-4.6330275,5.97208,0.7505275,4.115254,6.70422,2.2521875,6.392665,0.15340234,2.4453515,-5.763945,-13.47788,-0.7604785,12.42424,11.7108,0
0.404352,0,0,0,0,0,-1.5451602,-2.114668,-3.140286,-3.399492,-3.251196,-1.023004,-3.464296,-3.424418,-2.722812,-1.6286524,-4.629912,5.956505,0.734951,4.1090235,6.707335,2.258418,6.398895,0.15838672,2.4453515,-5.776405,-13.462305,-0.77917,12.414895,11.735725,0
0.409344,0,0,0,0,0,-1.5538828,-2.127128,-3.153992,-3.395754,-3.25618,-1.023004,-3.460558,-3.429402,-2.725304,-1.6274062,-4.629912,5.968965,0.694453,4.115254,6.713565,2.261533,6.38955,0.16835546,2.4702735,-5.757715,-13.50592,-0.7324415,12.40243,11.71703,0
